"Cart is empty","Cart is empty"
"Invoice is not exists","Invoice is not exists"
"Dibs Charge id is empty","Dibs Charge id is empty"
"Live","Live",
"Test","Test"
"There is error. Please contact store administrator for details","There is error. Please contact store administrator for details"
"Order cannot be created, cart not valid","Order cannot be created, cart not valid"
"Payment ID","Payment ID"
"Masked Pan","Masked Pan"
"Payment Type","Payment Type"
"Reserved payment amount is not correct. Reserved amount %s - order amount %s","Reserved payment amount is not correct. Reserved amount %s - order amount %s"
"DIBS Easy Checkout","DIBS Easy Checkout"
"Enable Dibs Easy Checkout","Enable Dibs Easy Checkout"
"Select Environment","Select Environment"
"Live Secret Key","Live Secret Key"
"Test Secret Key","Test Secret Key",
"Live Checkout Key","Live Checkout Key"
"Test Checkout Key","Test Checkout Key"
"New order status","New order status"
"Shipping Carrier","Shipping Carrier"
"Dibs Easy Free Shipping","Dibs Easy Free Shipping"
"Enabled","Enabled"
"Method Name","Method Name"
"Title","Title"
"Terms & Condition Link Type","Terms & Condition Link Type"
"Terms & Condition Direct Link","Terms & Condition Direct Link"
"Terms & Condition Cms Page","Terms & Condition Cms Page"
"Select Cms Page","Select Cms Page"
"Direct Link","Direct Link"
"Cms Page","Cms Page"
"Specify URL","Specify URL"
"(B2C) Only","(B2C) Only"
"(B2B) Only","(B2B) Only"
"(B2C & B2B) Defaults to B2C","(B2C & B2B) Defaults to B2C"
"(B2B & B2C) Defaults to B2B","(B2B & B2C) Defaults to B2B"
"Allowed Customer Types"

